,name,age,nationality,club,bp,position,weight,foot,joined,marking,total_stats,base_stats,a/w,d/w,pac,sho,pas,dri,def,phy,hits,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,ova,value_log,wage_log,release_clause_log
67,M. Vojvoda,25,Kosovo,Torino,RB,RB CB,179.0,Right,"Aug 27, 2020",70,1859,399,Medium,Medium,70,50,68,70,70,71,25.0,62.0,62.0,62.0,66.0,64.0,64.0,64.0,66.0,66.0,66.0,66.0,68.0,68.0,68.0,68.0,68.0,71.0,70.0,70.0,70.0,71.0,71.0,70.0,70.0,70.0,71.0,16.0,73,7.653212513775344,4.447158031342219,6.903089986991944
68,Elady,29,Spain,FC Cartagena,ST,LM RM,165.0,Left,"Aug 9, 2018",45,1764,369,Medium,Medium,63,69,65,68,39,65,5.0,69.0,69.0,69.0,68.0,68.0,68.0,68.0,68.0,67.0,67.0,67.0,67.0,62.0,62.0,62.0,67.0,54.0,52.0,52.0,52.0,54.0,52.0,49.0,49.0,49.0,52.0,15.0,68,5.942008053022313,3.6020599913279625,7.146128035678238
69,F. Mayer,21,Germany,Borussia Mönchengladbach,CB,CB,192.0,Right,"Jan 14, 2018",61,1346,290,Medium,Medium,52,34,38,40,63,63,10.0,43.0,43.0,43.0,39.0,40.0,40.0,40.0,39.0,39.0,39.0,39.0,41.0,42.0,42.0,42.0,41.0,52.0,53.0,53.0,53.0,52.0,55.0,61.0,61.0,61.0,55.0,13.0,62,5.676693609624866,3.4771212547196626,5.955687750313506
70,S. Kersten,22,Netherlands,PEC Zwolle,CB,CB,174.0,Right,"Jul 10, 2019",65,1532,337,Medium,Medium,61,44,49,49,65,69,4.0,51.0,51.0,51.0,48.0,49.0,49.0,49.0,48.0,50.0,50.0,50.0,50.0,54.0,54.0,54.0,50.0,58.0,63.0,63.0,63.0,58.0,60.0,65.0,65.0,65.0,60.0,15.0,65,5.829303772831025,3.3010299956639813,7.041392685158225
71,Y. Kalley,19,Sweden,IFK Göteborg,LB,LB LM,139.0,Left,"Aug 25, 2020",49,1375,297,High,Medium,73,31,39,53,50,51,5.0,43.0,43.0,43.0,48.0,46.0,46.0,46.0,48.0,45.0,45.0,45.0,50.0,45.0,45.0,45.0,50.0,53.0,49.0,49.0,49.0,53.0,53.0,50.0,50.0,50.0,53.0,13.0,55,5.113943352306837,2.6989700043360187,5.276461804173244
72,T. Cairney,29,Scotland,Fulham,CAM,CAM CM,185.0,Left,"Jun 26, 2015",63,1961,413,Medium,Medium,63,72,77,77,60,64,42.0,71.0,71.0,71.0,74.0,74.0,74.0,74.0,74.0,76.0,76.0,76.0,74.0,75.0,75.0,75.0,74.0,67.0,69.0,69.0,69.0,67.0,65.0,62.0,62.0,62.0,65.0,17.0,76,7.8750612633917,4.929418925714293,8.155336037465062
73,B. Embolo,23,Switzerland,Borussia Mönchengladbach,ST,ST CAM,190.0,Right,"Jul 1, 2019",26,1950,428,Medium,Medium,87,76,70,74,40,81,191.0,78.0,78.0,78.0,76.0,77.0,77.0,77.0,76.0,75.0,75.0,75.0,76.0,71.0,71.0,71.0,76.0,61.0,60.0,60.0,60.0,61.0,59.0,56.0,56.0,56.0,59.0,17.0,78,8.161368002234974,4.568201724066995,8.440909082065218
74,Luis Paezinho,24,Brazil,Santos,CB,CB LB,165.0,Left,"Jan 1, 2019",72,1552,314,Medium,Medium,65,35,47,40,67,60,3.0,45.0,45.0,45.0,44.0,43.0,43.0,43.0,44.0,44.0,44.0,44.0,45.0,47.0,47.0,47.0,45.0,57.0,59.0,59.0,59.0,57.0,60.0,65.0,65.0,65.0,60.0,21.0,65,5.720159303405957,3.6989700043360187,5.999130541287371
75,F. Mesones,25,Peru,Deportivo Binacional,LB,LB,154.0,Left,"Jan 1, 2019",48,1442,314,Medium,Low,72,35,49,48,51,59,5.0,45.0,45.0,45.0,49.0,46.0,46.0,46.0,49.0,47.0,47.0,47.0,51.0,49.0,49.0,49.0,51.0,55.0,53.0,53.0,53.0,55.0,55.0,52.0,52.0,52.0,55.0,13.0,57,5.041392685158225,2.6989700043360187,5.389166084364533
76,Tete,20,Brazil,Shakhtar Donetsk,CAM,RM CAM,161.0,Left,"Feb 28, 2019",24,1710,385,High,Medium,83,67,69,79,29,58,249.0,67.0,67.0,67.0,74.0,73.0,73.0,73.0,74.0,74.0,74.0,74.0,74.0,68.0,68.0,68.0,74.0,58.0,54.0,54.0,54.0,58.0,53.0,42.0,42.0,42.0,53.0,16.0,75,8.060697840353612,2.6989700043360187,8.423245873936807
77,J. Bizama,26,Chile,Houston Dynamo,CB,RB CB,165.0,Right,"Jul 11, 2019",63,1702,382,Medium,Medium,77,45,59,62,65,74,5.0,57.0,57.0,57.0,60.0,58.0,58.0,58.0,60.0,59.0,59.0,59.0,62.0,61.0,61.0,61.0,62.0,66.0,65.0,65.0,65.0,66.0,66.0,67.0,67.0,67.0,66.0,14.0,68,5.989004615698537,3.4771212547196626,7.176091259055681
78,F. Wadja,25,Cameroon,FC Lorient,CB,CDM CM,183.0,Right,"Jul 1, 2017",67,1744,379,High,Medium,69,40,61,59,66,84,4.0,55.0,55.0,55.0,57.0,56.0,56.0,56.0,57.0,58.0,58.0,58.0,61.0,62.0,62.0,62.0,61.0,66.0,67.0,67.0,67.0,66.0,67.0,68.0,68.0,68.0,67.0,14.0,68,7.041392685158225,4.0,7.380211241711606
79,Diego Farías,30,Brazil,Spezia,RW,ST,146.0,Right,"Aug 6, 2014",55,1820,383,High,Medium,83,69,68,79,38,46,8.0,71.0,71.0,71.0,75.0,74.0,74.0,74.0,75.0,74.0,74.0,74.0,73.0,66.0,66.0,66.0,73.0,56.0,51.0,51.0,51.0,56.0,53.0,45.0,45.0,45.0,53.0,15.0,71,7.361727836017593,2.6989700043360187,7.707570176097937
80,N. Casale,21,Italy,Venezia FC,CB,CB,176.0,Right,"Jul 15, 2015",56,1390,297,Medium,Medium,60,31,37,40,61,68,7.0,42.0,42.0,42.0,40.0,40.0,40.0,40.0,40.0,39.0,39.0,39.0,42.0,42.0,42.0,42.0,42.0,53.0,53.0,53.0,53.0,53.0,56.0,60.0,60.0,60.0,56.0,16.0,61,5.628388930050312,2.7403626894942437,0.0
81,Vaná,25,Brazil,CD Feirense,GK,GK,176.0,Right,"Jul 29, 2016",17,1173,419,Medium,Medium,75,71,69,79,50,75,4.0,28.0,28.0,28.0,29.0,30.0,30.0,30.0,29.0,31.0,31.0,31.0,30.0,31.0,31.0,31.0,30.0,27.0,29.0,29.0,29.0,27.0,27.0,28.0,28.0,28.0,27.0,74.0,75,7.653212513775344,3.845098040014257,0.0
82,O. Skipp,19,England,Norwich City,CDM,CDM CM,154.0,Right,"Sep 16, 2017",62,1686,363,Medium,High,63,45,63,65,64,63,185.0,55.0,55.0,55.0,60.0,60.0,60.0,60.0,60.0,62.0,62.0,62.0,62.0,65.0,65.0,65.0,62.0,65.0,67.0,67.0,67.0,65.0,64.0,64.0,64.0,64.0,64.0,14.0,68,7.2552725051033065,3.3010299956639813,0.0
83,R. Balbuena,20,Argentina,Arsenal de Sarandí,RM,CAM,159.0,Right,"Jul 3, 2019",41,1646,355,Medium,Medium,81,60,57,70,37,50,3.0,60.0,60.0,60.0,64.0,62.0,62.0,62.0,64.0,62.0,62.0,62.0,63.0,56.0,56.0,56.0,63.0,53.0,48.0,48.0,48.0,53.0,50.0,43.0,43.0,43.0,50.0,14.0,62,5.740362689494244,3.3010299956639813,5.958085848521085
84,K. Iwashita,33,Japan,Sagan Tosu,CB,CB,168.0,Right,"Feb 1, 2020",64,1321,276,Medium,Medium,34,32,40,40,64,66,3.0,43.0,43.0,43.0,39.0,40.0,40.0,40.0,39.0,41.0,41.0,41.0,40.0,45.0,45.0,45.0,40.0,52.0,56.0,56.0,56.0,52.0,54.0,63.0,63.0,63.0,54.0,14.0,63,5.230448921378274,3.0,5.328379603438738
85,R. Kharchouch,24,Netherlands,Sparta Rotterdam,ST,ST,165.0,Right,"Jul 1, 2020",20,1538,335,High,Medium,68,67,50,61,24,65,6.0,66.0,66.0,66.0,61.0,63.0,63.0,63.0,61.0,60.0,60.0,60.0,59.0,53.0,53.0,53.0,59.0,43.0,41.0,41.0,41.0,43.0,41.0,40.0,40.0,40.0,41.0,16.0,66,5.929418925714293,3.4771212547196626,7.113943352306837
86,T. Kehinde,22,Nigeria,Randers FC,RM,LM,165.0,Right,"Aug 24, 2020",33,1657,358,High,Medium,78,51,61,67,38,63,27.0,60.0,60.0,60.0,63.0,62.0,62.0,62.0,63.0,63.0,63.0,63.0,64.0,61.0,61.0,61.0,64.0,55.0,54.0,54.0,54.0,55.0,52.0,48.0,48.0,48.0,52.0,16.0,65,5.9661417327390325,3.4771212547196626,7.113943352306837
87,E. Soleri,19,Italy,UD Almería,ST,ST,165.0,Right,"Jul 3, 2017",18,1460,310,Medium,Medium,64,63,38,60,21,64,3.0,62.0,62.0,62.0,56.0,58.0,58.0,58.0,56.0,54.0,54.0,54.0,54.0,46.0,46.0,46.0,54.0,39.0,35.0,35.0,35.0,39.0,37.0,37.0,37.0,37.0,37.0,16.0,63,5.903089986991944,3.3010299956639813,0.0
88,S. Skytte,23,Denmark,Stabæk Fotball,CDM,CM,187.0,Left,"Sep 12, 2020",61,1784,388,Medium,Medium,59,61,61,65,63,79,3.0,64.0,64.0,64.0,62.0,64.0,64.0,64.0,62.0,64.0,64.0,64.0,63.0,65.0,65.0,65.0,63.0,62.0,66.0,66.0,66.0,62.0,62.0,66.0,66.0,66.0,62.0,15.0,65,5.889301702506311,3.0,7.041392685158225
89,E. Kaja,21,Albania,Northampton Town,RM,CAM RM,172.0,Right,"Sep 2, 2019",48,1615,351,Medium,Medium,75,49,55,60,46,66,3.0,54.0,54.0,54.0,59.0,56.0,56.0,56.0,59.0,57.0,57.0,57.0,59.0,54.0,54.0,54.0,59.0,55.0,52.0,52.0,52.0,55.0,54.0,51.0,51.0,51.0,54.0,18.0,58,5.301029995663981,3.4771212547196626,5.5910646070264995
90,M. Bauer,20,Germany,SpVgg Greuther Fürth,CB,CB,185.0,Right,"Aug 8, 2018",59,1365,291,Medium,Medium,59,26,40,37,61,68,10.0,41.0,41.0,41.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,41.0,44.0,44.0,44.0,41.0,53.0,54.0,54.0,54.0,53.0,56.0,61.0,61.0,61.0,56.0,17.0,61,5.628388930050312,3.0,5.871572935545879
91,B. Baggley,18,Northern Ireland,Fleetwood Town,CAM,CM,143.0,Right,"Jul 1, 2018",41,1389,296,Medium,Medium,65,43,50,53,42,43,3.0,48.0,48.0,48.0,51.0,51.0,51.0,51.0,51.0,52.0,52.0,52.0,51.0,51.0,51.0,51.0,51.0,47.0,48.0,48.0,48.0,47.0,47.0,45.0,45.0,45.0,47.0,15.0,51,4.903089986991944,2.7781512503836434,5.278753600952829
92,Kaíqundo Calado,24,Brazil,São Paulo,RB,RB CDM,170.0,Right,"Jan 1, 2019",74,1875,413,Medium,Medium,82,51,64,71,72,73,7.0,65.0,65.0,65.0,68.0,67.0,67.0,67.0,68.0,67.0,67.0,67.0,70.0,67.0,67.0,67.0,70.0,73.0,70.0,70.0,70.0,73.0,73.0,72.0,72.0,72.0,73.0,19.0,75,7.812913356642856,4.414973347970818,8.093421685162236
93,Alexis,33,Spain,Racing Santander,CB,CB,165.0,Right,"Aug 8, 2019",66,1637,336,Medium,High,51,34,57,53,67,74,6.0,52.0,52.0,52.0,50.0,50.0,50.0,50.0,50.0,51.0,51.0,51.0,53.0,56.0,56.0,56.0,53.0,62.0,65.0,65.0,65.0,62.0,63.0,68.0,68.0,68.0,63.0,18.0,69,5.698970004336019,3.6989700043360187,5.889301702506311
94,D. Miloc,29,Argentina,Patronato,CDM,CM CDM,163.0,Right,"Jul 18, 2019",63,1773,380,Medium,High,61,48,62,65,66,78,4.0,58.0,58.0,58.0,61.0,61.0,61.0,61.0,61.0,63.0,63.0,63.0,64.0,67.0,67.0,67.0,64.0,67.0,69.0,69.0,69.0,67.0,67.0,67.0,67.0,67.0,67.0,18.0,67,5.860338006570994,3.7781512503836434,7.041392685158225
95,V. Misidjan,26,Netherlands,1. FC Nürnberg,RM,RM LM,154.0,Right,"Aug 31, 2018",29,1752,378,Medium,Medium,86,64,64,77,29,58,20.0,67.0,67.0,67.0,72.0,70.0,70.0,70.0,72.0,70.0,70.0,70.0,71.0,62.0,62.0,62.0,71.0,54.0,49.0,49.0,49.0,54.0,50.0,42.0,42.0,42.0,50.0,15.0,72,7.518513939877887,4.0,7.724275869600789
96,A. Öztürk,26,Turkey,Sunderland,CB,CB,176.0,Right,"Jul 1, 2018",60,1548,333,Medium,Medium,50,46,49,51,64,73,4.0,50.0,50.0,50.0,46.0,48.0,48.0,48.0,46.0,49.0,49.0,49.0,47.0,54.0,54.0,54.0,47.0,56.0,61.0,61.0,61.0,56.0,58.0,64.0,64.0,64.0,58.0,15.0,65,5.7596678446896306,3.6020599913279625,6.0
97,K. Ayhan,25,Turkey,Sassuolo,CB,CB,185.0,Right,"Aug 16, 2020",75,1969,407,High,Medium,64,53,71,68,76,75,42.0,62.0,62.0,62.0,64.0,64.0,64.0,64.0,64.0,65.0,65.0,65.0,65.0,69.0,69.0,69.0,65.0,72.0,74.0,74.0,74.0,72.0,72.0,75.0,75.0,75.0,72.0,19.0,75,7.8750612633917,4.3979400086720375,8.123851640967086
98,A. Annan,31,Ghana,HJK Helsinki,RB,CDM CM,141.0,Right,"May 25, 2016",65,1779,375,Medium,Medium,77,49,58,60,64,67,3.0,56.0,56.0,56.0,58.0,57.0,57.0,57.0,58.0,58.0,58.0,58.0,60.0,59.0,59.0,59.0,60.0,65.0,64.0,64.0,64.0,65.0,65.0,64.0,64.0,64.0,65.0,15.0,65,5.574031267727719,2.6989700043360187,5.90633504180509
99,T. Rowe,31,England,Bristol City,LWB,LWB CM,179.0,Left,"Jul 1, 2019",64,1826,386,High,Medium,69,56,63,67,66,65,5.0,62.0,62.0,62.0,65.0,64.0,64.0,64.0,65.0,64.0,64.0,64.0,66.0,65.0,65.0,65.0,66.0,68.0,66.0,66.0,66.0,68.0,68.0,64.0,64.0,64.0,68.0,20.0,70,7.113943352306837,4.3222192947339195,7.3979400086720375
100,M. Bułka,20,Poland,FC Cartagena,GK,GK,198.0,Right,"Jul 6, 2019",15,961,343,Medium,Medium,65,61,62,69,26,60,69.0,22.0,22.0,22.0,19.0,21.0,21.0,21.0,19.0,23.0,23.0,23.0,21.0,23.0,23.0,23.0,21.0,20.0,24.0,24.0,24.0,20.0,19.0,23.0,23.0,23.0,19.0,63.0,64,5.860338006570994,3.0,0.0
101,D. Kamada,23,Japan,Eintracht Frankfurt,CAM,CAM CF ST,159.0,Right,"Jul 17, 2017",30,1878,397,High,Medium,75,70,73,82,36,61,204.0,72.0,72.0,72.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,70.0,70.0,70.0,76.0,59.0,56.0,56.0,56.0,59.0,55.0,47.0,47.0,47.0,55.0,15.0,76,7.0,4.361727836017593,8.250420002308894
103,Enaldo Praz,36,Brazil,Grêmio,LB,LB LWB,161.0,Left,"Jan 1, 2019",78,1850,397,Medium,Medium,70,49,68,65,74,71,3.0,59.0,59.0,59.0,64.0,62.0,62.0,62.0,64.0,64.0,64.0,64.0,66.0,68.0,68.0,68.0,66.0,72.0,72.0,72.0,72.0,72.0,73.0,72.0,72.0,72.0,73.0,17.0,75,7.079181246047625,4.2552725051033065,7.361727836017593
104,R. Pereyra,29,Argentina,Udinese,LM,LM,170.0,Right,"Sep 28, 2020",50,2030,430,High,Medium,75,73,76,80,61,65,44.0,73.0,73.0,73.0,77.0,76.0,76.0,76.0,77.0,77.0,77.0,77.0,76.0,75.0,75.0,75.0,76.0,71.0,70.0,70.0,70.0,71.0,69.0,66.0,66.0,66.0,69.0,13.0,77,7.929418925714293,4.301029995663981,8.1846914308176
105,M. Bejarano,32,Bolivia,Bolivia,LB,LB LWB LM,154.0,Left,"Jul 5, 2016",67,1600,346,High,Medium,67,33,52,61,67,66,17.0,49.0,49.0,49.0,53.0,50.0,50.0,50.0,53.0,51.0,51.0,51.0,57.0,56.0,56.0,56.0,57.0,67.0,64.0,64.0,64.0,67.0,67.0,64.0,64.0,64.0,67.0,19.0,69,0.0,0.0,0.0
106,M. Morozyuk,32,Ukraine,Çaykur Rizespor,RB,RB RM,157.0,Right,"Jul 1, 2019",72,1920,399,High,Medium,75,62,74,70,69,49,3.0,60.0,60.0,60.0,68.0,66.0,66.0,66.0,68.0,69.0,69.0,69.0,70.0,71.0,71.0,71.0,70.0,74.0,70.0,70.0,70.0,74.0,72.0,63.0,63.0,63.0,72.0,18.0,74,7.544068044350276,4.113943352306837,6.845098040014257
107,F. Kaufmann,27,Germany,Eintracht Braunschweig,RM,RM,159.0,Right,"Jul 29, 2020",41,1839,403,High,High,88,60,61,70,52,72,6.0,64.0,64.0,64.0,68.0,66.0,66.0,66.0,68.0,65.0,65.0,65.0,69.0,63.0,63.0,63.0,69.0,67.0,61.0,61.0,61.0,67.0,65.0,58.0,58.0,58.0,65.0,15.0,70,7.278753600952829,4.0,7.4623979978989565
108,N. Kijewski,24,Germany,Eintracht Braunschweig,LWB,LB LWB,163.0,Left,"Jul 1, 2015",60,1719,369,Medium,Medium,75,38,60,67,63,66,9.0,53.0,53.0,53.0,59.0,56.0,56.0,56.0,59.0,58.0,58.0,58.0,62.0,61.0,61.0,61.0,62.0,67.0,64.0,64.0,64.0,67.0,66.0,63.0,63.0,63.0,66.0,13.0,68,7.041392685158225,3.6989700043360187,7.278753600952829
109,R. Sykes,21,England,Accrington Stanley,CB,CB,161.0,Right,"Jul 1, 2015",64,1458,316,Medium,High,55,30,43,49,64,75,4.0,46.0,46.0,46.0,43.0,44.0,44.0,44.0,43.0,45.0,45.0,45.0,46.0,51.0,51.0,51.0,46.0,56.0,61.0,61.0,61.0,56.0,58.0,65.0,65.0,65.0,58.0,16.0,65,5.860338006570994,3.0,7.146128035678238
110,D. Palacios,20,Ecuador,Los Angeles FC,LWB,LB,143.0,Left,"Aug 7, 2019",67,1660,369,Medium,Medium,77,33,62,68,65,64,42.0,52.0,52.0,52.0,62.0,58.0,58.0,58.0,62.0,60.0,60.0,60.0,65.0,62.0,62.0,62.0,65.0,69.0,66.0,66.0,66.0,69.0,68.0,64.0,64.0,64.0,68.0,14.0,70,7.414973347970818,3.4771212547196626,7.643452676486188
111,D. Schmid,19,Switzerland,FC Lausanne-Sport,CM,CAM CM,154.0,Left,"Apr 30, 2017",35,1655,350,High,Medium,69,44,66,66,44,61,3.0,54.0,54.0,54.0,58.0,58.0,58.0,58.0,58.0,61.0,61.0,61.0,62.0,63.0,63.0,63.0,62.0,57.0,57.0,57.0,57.0,57.0,55.0,50.0,50.0,50.0,55.0,13.0,62,5.812913356642856,3.3010299956639813,0.0
112,L. Hakim,18,Malaysia,KV Kortrijk,CAM,ST CF,143.0,Right,"Aug 6, 2020",12,1498,313,Medium,Low,72,58,54,65,18,46,27.0,56.0,56.0,56.0,59.0,57.0,57.0,57.0,59.0,57.0,57.0,57.0,57.0,50.0,50.0,50.0,57.0,40.0,36.0,36.0,36.0,40.0,37.0,30.0,30.0,30.0,37.0,13.0,56,5.278753600952829,3.0,5.606381365110605
113,B. Kieliba,29,Poland,Warta Poznań,CB,CB,190.0,Right,"Mar 10, 2016",59,1390,293,Medium,High,48,28,44,37,61,75,3.0,42.0,42.0,42.0,37.0,39.0,39.0,39.0,37.0,40.0,40.0,40.0,41.0,48.0,48.0,48.0,41.0,53.0,59.0,59.0,59.0,53.0,56.0,62.0,62.0,62.0,56.0,17.0,62,5.3979400086720375,2.9777236052888476,5.528916700277655
114,P. Karlsson,34,Sweden,AIK,CB,CB,179.0,Right,"Jul 1, 2003",72,1612,345,Low,High,66,36,45,49,73,76,4.0,50.0,50.0,50.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,49.0,52.0,52.0,52.0,49.0,62.0,64.0,64.0,64.0,62.0,65.0,71.0,71.0,71.0,65.0,18.0,71,5.942008053022313,3.6989700043360187,7.041392685158225
115,E. Zavaleta,27,United States,Toronto FC,CB,CB,185.0,Right,"Jan 26, 2015",63,1667,357,Medium,Medium,58,55,52,54,63,75,8.0,58.0,58.0,58.0,53.0,57.0,57.0,57.0,53.0,56.0,56.0,56.0,55.0,59.0,59.0,59.0,55.0,58.0,63.0,63.0,63.0,58.0,59.0,65.0,65.0,65.0,59.0,17.0,65,5.740362689494244,3.3010299956639813,5.937517892017347
116,B. Mendy,25,France,Manchester City,LWB,LB,187.0,Left,"Jul 24, 2017",77,2035,442,High,Low,80,54,77,77,77,77,249.0,69.0,69.0,69.0,74.0,73.0,73.0,73.0,74.0,74.0,74.0,74.0,76.0,75.0,75.0,75.0,76.0,80.0,77.0,77.0,77.0,80.0,79.0,77.0,77.0,77.0,79.0,17.0,81,8.290034611362518,5.060697840353612,8.574031267727719
117,A. McGeady,34,Republic of Ireland,Sunderland,CAM,LM,157.0,Right,"Jul 13, 2017",41,1865,386,High,Medium,70,69,70,75,44,58,47.0,68.0,68.0,68.0,71.0,70.0,70.0,70.0,71.0,71.0,71.0,71.0,69.0,67.0,67.0,67.0,69.0,57.0,57.0,57.0,57.0,57.0,55.0,52.0,52.0,52.0,55.0,16.0,70,5.954242509439325,3.9542425094393248,7.204119982655925
118,D. Ragatzu,28,Italy,Cagliari,ST,ST LW RW,150.0,Right,"Jan 30, 2018",50,1626,332,High,Low,75,60,53,68,31,45,6.0,62.0,62.0,62.0,63.0,63.0,63.0,63.0,63.0,62.0,62.0,62.0,61.0,54.0,54.0,54.0,61.0,48.0,43.0,43.0,43.0,48.0,45.0,38.0,38.0,38.0,45.0,16.0,62,5.511883360978874,3.7781512503836434,5.742725131304698
119,P. Rodríguez,30,Argentina,Jorge Wilstermann,LW,LW RW,132.0,Right,"Aug 14, 2020",16,1701,343,High,Low,77,63,67,73,29,34,4.0,62.0,62.0,62.0,69.0,67.0,67.0,67.0,69.0,68.0,68.0,68.0,67.0,61.0,61.0,61.0,67.0,51.0,47.0,47.0,47.0,51.0,48.0,38.0,38.0,38.0,48.0,16.0,69,6.0,2.6989700043360187,7.342422680822207
120,D. Fernández,19,Argentina,Vélez Sarsfield,CB,CB,163.0,Right,"Jul 3, 2019",59,1513,330,Medium,Medium,70,30,44,53,62,71,6.0,47.0,47.0,47.0,47.0,46.0,46.0,46.0,47.0,47.0,47.0,47.0,50.0,50.0,50.0,50.0,50.0,59.0,59.0,59.0,59.0,59.0,61.0,63.0,63.0,63.0,61.0,14.0,63,5.778151250383644,3.3010299956639813,6.0
121,S. Moutoussamy,23,DR Congo,FC Nantes,CAM,CM CDM LB,159.0,Left,"Sep 6, 2017",66,1817,397,Medium,Medium,71,58,69,75,66,58,9.0,63.0,63.0,63.0,69.0,67.0,67.0,67.0,69.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,69.0,68.0,68.0,68.0,69.0,68.0,63.0,63.0,63.0,68.0,13.0,70,7.361727836017593,4.079181246047625,7.681241237375588
122,I. Cameron,19,Scotland,Kilmarnock,ST,CF CAM,172.0,Right,"Aug 1, 2016",47,1564,338,Medium,Low,55,56,54,60,48,65,10.0,58.0,58.0,58.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,56.0,55.0,55.0,55.0,56.0,50.0,53.0,53.0,53.0,50.0,50.0,54.0,54.0,54.0,50.0,15.0,57,5.342422680822207,2.9542425094393248,5.718501688867274
123,B. Fomba,20,Mali,Chindia Târgovişte,CB,CB,165.0,Right,"Sep 23, 2020",54,1278,276,Low,Medium,59,22,32,32,57,74,5.0,37.0,37.0,37.0,34.0,35.0,35.0,35.0,34.0,36.0,36.0,36.0,37.0,41.0,41.0,41.0,37.0,49.0,51.0,51.0,51.0,49.0,52.0,57.0,57.0,57.0,52.0,17.0,57,5.3222192947339195,2.8750612633917,5.6180480967120925
124,F. Bustos B,24,Argentina,Independiente,RM,RB RWB RM,146.0,Right,"Jul 1, 2016",68,1964,435,High,Low,86,63,70,76,69,71,113.0,70.0,70.0,70.0,75.0,73.0,73.0,73.0,75.0,73.0,73.0,73.0,76.0,73.0,73.0,73.0,76.0,75.0,72.0,72.0,72.0,75.0,74.0,69.0,69.0,69.0,74.0,17.0,76,6.954242509439325,4.176091259055681,8.152288344383056
125,R. Cronvall,18,Sweden,Varbergs BoIS,ST,ST,143.0,Right,"Jan 8, 2020",15,1322,282,High,Medium,72,56,39,50,20,45,3.0,54.0,54.0,54.0,51.0,52.0,52.0,52.0,51.0,49.0,49.0,49.0,49.0,43.0,43.0,43.0,49.0,36.0,33.0,33.0,33.0,36.0,35.0,30.0,30.0,30.0,35.0,14.0,54,5.0,2.6989700043360187,5.161368002234975
126,C. Salomón,20,Chile,Universidad Católica,CB,CB,150.0,Right,"Jan 1, 2020",56,1280,282,Medium,Medium,59,25,43,42,53,60,3.0,40.0,40.0,40.0,40.0,39.0,39.0,39.0,40.0,41.0,41.0,41.0,43.0,44.0,44.0,44.0,43.0,49.0,51.0,51.0,51.0,49.0,50.0,53.0,53.0,53.0,50.0,13.0,53,4.954242509439325,3.0,5.158362492095249
127,J. Breitenbach,22,Germany,1. FC Saarbrücken,RB,RB RM,154.0,Right,"Jul 1, 2019",54,1476,326,High,Medium,80,27,49,60,55,55,10.0,46.0,46.0,46.0,54.0,51.0,51.0,51.0,54.0,52.0,52.0,52.0,55.0,50.0,50.0,50.0,55.0,59.0,54.0,54.0,54.0,59.0,59.0,55.0,55.0,55.0,59.0,15.0,61,5.511883360978874,2.9777236052888476,5.72916478969277
128,J. Wilson,24,England,Salford City,ST,ST RM,161.0,Left,"Jan 31, 2020",20,1597,335,Medium,Medium,73,61,55,62,26,58,47.0,63.0,63.0,63.0,61.0,62.0,62.0,62.0,61.0,61.0,61.0,61.0,61.0,55.0,55.0,55.0,61.0,46.0,43.0,43.0,43.0,46.0,44.0,39.0,39.0,39.0,44.0,17.0,63,5.720159303405957,3.6020599913279625,6.0
129,Y. Verschaeren,18,Belgium,RSC Anderlecht,CAM,CAM RW LW,139.0,Right,"Jul 17, 2017",41,1817,376,High,High,71,67,71,79,39,49,335.0,65.0,65.0,65.0,72.0,70.0,70.0,70.0,72.0,72.0,72.0,72.0,71.0,68.0,68.0,68.0,71.0,58.0,56.0,56.0,56.0,58.0,54.0,45.0,45.0,45.0,54.0,16.0,72,7.740362689494244,3.7781512503836434,8.068185861746162
130,R. Montolivo,33,Italy,Milan,CM,CDM CM,168.0,Right,"Jul 1, 2012",78,2003,414,Medium,High,51,64,82,80,73,64,11.0,66.0,66.0,66.0,71.0,71.0,71.0,71.0,71.0,75.0,75.0,75.0,72.0,78.0,78.0,78.0,72.0,72.0,77.0,77.0,77.0,72.0,71.0,72.0,72.0,72.0,71.0,12.0,78,7.623249290397901,4.845098040014257,7.8512583487190755
131,L. Jacot,19,Switzerland,FC Luzern,GK,GK,187.0,Right,"Jul 1, 2019",8,802,296,Medium,Medium,59,54,56,58,19,50,4.0,18.0,18.0,18.0,14.0,16.0,16.0,16.0,14.0,16.0,16.0,16.0,16.0,18.0,18.0,18.0,16.0,15.0,19.0,19.0,19.0,15.0,16.0,19.0,19.0,19.0,16.0,54.0,55,5.146128035678238,3.0,5.463892988985907
